"frame_number"	"time_in_deciseconds"	"X"	"Y"	"Z"	"ID"
"361"	12010	1200.9	3608.745	5284.305	-103.98	739
"362"	12435	1243.4	-2669.16	612.447	-7.716	740
"363"	12021	1202	3585.24	5301.812	-113.174	741
"364"	12026	1202.5	3586.7	5314.054	-103.189	742
"365"	12039	1203.8	3561.761	5354.254	-117.963	743
"366"	12079	1207.8	1179.813	8271.645	-181.617	744
"367"	12082	1208.1	3524.479	5444.546	-118.582	745
"368"	12103	1210.2	3516.933	5498.747	-106.067	747
"369"	12194	1219.3	854.233	8260.397	-178.552	748
"370"	12319	1231.8	3357.731	6016.324	-125.387	749
"371"	12307	1230.6	561.975	8213.486	-180.314	750
"372"	12364	1236.3	436.176	8215.702	-179.514	751
"373"	12336	1233.5	3355.948	6053.98	-120.729	752
"374"	12452	1245.1	3272.706	6333.696	-128.736	753
"375"	12498	1249.7	57.319	8217.433	-181.687	754
"376"	12689	1268.8	-2680.93	-43.474	6.629	755
"377"	12514	1251.3	3225.895	6493.365	-132.45	756
"378"	12814	1281.3	-785.108	8239.909	-176.35	757
"379"	12534	1253.3	3206.452	6544.656	-130.559	758
"380"	12583	1258.2	2478.681	2057.53	-46.105	759
"381"	12573	1257.2	3166.446	6641.817	-134.426	760
"382"	13672	1367.1	2480.118	2055.258	-44.901	761
"383"	12632	1263.1	2478.744	2057.424	-46.015	762
"384"	12602	1260.1	3136.381	6719.759	-137.061	763
"385"	12652	1265.1	3114.006	6848.172	-139.397	765
"386"	12717	1271.6	2478.842	2057.362	-46.006	766
"387"	12711	1271	3064.733	6990.401	-143.188	767
"388"	12787	1278.6	-2641.591	-278.415	14.099	768
"389"	12810	1280.9	2478.806	2056.631	-45.932	769
"390"	12762	1276.1	2989.979	7094.001	-145.076	770
"391"	12887	1288.6	-2594.252	-546.46	18.947	771
"392"	12848	1284.7	2478.822	2057.293	-46.027	772
"393"	12990	1298.9	-1232.107	8258.241	-171.868	773
"394"	14527	1452.6	-1659.77	-1879.903	40.951	775
"395"	12914	1291.3	2478.671	2057.187	-45.922	776
"396"	13166	1316.5	2478.873	2056.484	-45.95	777
"397"	12998	1299.7	2643.196	7581.415	-156.142	778
"398"	13085	1308.4	-1511.125	8263.693	-172.516	779
"399"	13009	1300.8	-1279.237	8270.416	-175.044	780
"400"	13111	1311	-1584.399	8268.067	-181.046	781
"401"	13131	1313	-1642.089	8268.456	-178.022	782
"402"	13174	1317.3	-1729.875	8250.144	-182.238	783
"403"	17472	1747.1	2472.517	2050.787	-44.725	784
"404"	13188	1318.7	-1767.593	8268.165	-178.543	785
"405"	13206	1320.5	-1814.749	8265.548	-176.527	786
"406"	13231	1323	-1885.259	8260.457	-176.405	787
"407"	13236	1323.5	-1905.465	8257.993	-175.778	788
"408"	13244	1324.3	-1918.704	8261.889	-179.946	789
"409"	13363	1336.2	-2228.03	8197.876	-173.94	790
"410"	13514	1351.3	-2623.046	8028.303	-168.448	791
"411"	13431	1343	2292.824	1984.388	-34.602	792
"412"	13524	1352.3	2321.963	1987.272	-36.282	793
"413"	13511	1351	-1791.051	-1782.755	38.406	794
"414"	13572	1357.1	-1657.735	-1880.693	36.964	795
"415"	13529	1352.8	-2666.832	8012.829	-170.296	797
"416"	13534	1353.3	2311.508	2004.154	-33.784	798
"417"	13537	1353.6	-2689.552	8005.428	-166.467	799
"418"	13665	1366.4	-2942.267	7803.559	-164.834	800
"419"	36342	3634.1	2435.726	2044.224	-47.04	801
"420"	13564	1356.3	-1657.158	-1880.542	34.299	802
"421"	13585	1358.4	-1663.275	-1897.923	44.792	803
"422"	13596	1359.5	-1642.311	-1896.363	44.804	804
"423"	13629	1362.8	-1568.547	-1895.485	34.799	805
"424"	13635	1363.4	-1552.069	-1907.904	44.877	807
"425"	13771	1377	-1233.543	-1996.202	47.388	808
"426"	13691	1369	-3002.399	7747.126	-163.054	809
"427"	13685	1368.4	2517.624	2041.868	-43.598	810
"428"	14726	1472.5	2527.195	2048.208	-46.658	811
"429"	13710	1370.9	-3029.105	7715.269	-161.788	812
"430"	13778	1377.7	-3116.94	7587.711	-159.954	813
"431"	14364	1436.3	2651.729	2039.209	-37.022	814
"432"	13782	1378.1	858.653	8215.091	-179.088	816
"433"	14482	1448.1	497.876	-1461.732	26.669	817
"434"	13815	1381.4	-3193.467	7535.191	-159.25	818
"435"	13871	1387	-3261.305	7416.346	-156.48	819
"436"	13929	1392.8	-3341.164	7301.89	-154.104	820
"437"	34622	3462.1	4054.135	1995.224	-40.567	821
"438"	14062	1406.1	-3469.454	7066.41	-150.846	822
"439"	14107	1410.6	3183.96	2012.45	-31.065	823
"440"	14141	1414	3200.705	1997.485	-30.502	824
"441"	14140	1413.9	-3511.477	6959.553	-148.149	825
"442"	14173	1417.2	3200.675	1998.038	-29.022	826
"443"	14256	1425.5	3221.403	2002.631	-17.805	827
"444"	14206	1420.5	-3519.142	6934.128	-152.986	828
"445"	14232	1423.1	-252.842	8207.016	-178.007	829
"446"	14291	1429	-3532.824	6929.944	-151.207	830
"447"	14391	1439	3235.813	1987.266	7.479	831
"448"	14357	1435.6	2602.312	2033.617	-47.054	833
"449"	14377	1437.6	2655.203	2043.57	-46.903	834
"450"	14602	1460.1	2606.161	2030.629	-48.483	835
"451"	14387	1438.6	2599.438	2031.747	-50.231	836
"452"	18589	1858.8	2589.353	2053.372	-53.266	837
"453"	14473	1447.2	-3570.559	6862.954	-139.36	838
"454"	14755	1475.4	876.041	-913.077	20.104	839
"455"	14532	1453.1	-3584.964	6836.028	-142.259	840
"456"	22750	2274.9	287.202	-1631.888	29.999	841
"457"	14543	1454.2	-3579.288	6837.661	-137.543	842
"458"	18640	1863.9	2536.389	2048.955	-46.452	843
"459"	14760	1475.9	2472.617	2050.063	-43.858	844
"460"	14862	1486.1	2317.695	1985.744	-45.564	845
"461"	15981	1598	2994.152	1245.695	-20.813	846
"462"	26327	2632.6	4048.123	1996.272	-56.923	847
"463"	15072	1507.1	3238.063	1969.79	-21.828	849
"464"	15069	1506.8	-2460.46	8084.948	-175.724	850
"465"	15126	1512.5	2424.73	2122.873	73.978	852
"466"	15252	1525.1	2585.834	1948.16	-36.112	853
"467"	15837	1583.6	2552.956	1972.043	-45.1	854
"468"	15974	1597.3	-3542.332	6953.132	-149.787	855
"469"	16165	1616.4	2580.472	1973.05	-43.554	856
"470"	16145	1614.4	3349.572	1433.498	-27.265	857
"471"	16173	1617.2	3414.228	1463.3	-26.12	858
"472"	27819	2781.8	2454.662	2023.239	24.51	859
"473"	18256	1825.5	-3464.545	7097.9	-157.189	860
"474"	56570	5656.9	2596.025	2004.996	-38.801	861
"475"	16200	1619.9	3473.271	1505.322	-25.963	862
"476"	16186	1618.5	4442.571	3656.01	-81.621	863
"477"	16247	1624.6	4403.996	3751.506	-82.529	864
"478"	16237	1623.6	3558.568	1556.325	-26.836	865
"479"	16252	1625.1	4401.879	3758.077	-83.987	866
"480"	16257	1625.6	4396.589	3763.398	-82.984	867
"481"	16261	1626	3624.987	1576.87	-27.7	868
"482"	16262	1626.1	4392.078	3771.128	-75.837	869
"483"	16305	1630.4	4373.694	3852.223	-73.955	870
"484"	16283	1628.2	4377.282	3811.014	-79.387	871
"485"	16387	1638.6	3841.795	1780.334	-33.858	872
"486"	16285	1628.4	3649.9	1598.091	-27.435	873
"487"	16310	1630.9	4365.924	3859.781	-85.49	874
"488"	16382	1638.1	4322.998	3961.813	-75.501	875
