"frame_number"	"time_in_deciseconds"	"X"	"Y"	"Z"	"ID"	"distance"
"317"	7123	712.2	2342.36	2081.36	-41.065	379	NA
"318"	8166	816.5	-685.868	2108.77	-36.785	380	NA
"319"	8658	865.7	3271.399	1927.021	-44.221	381	NA
"320"	7988	798.7	640.323	-1318.04	31.637	382	NA
"321"	8187	818.6	918.976	-935.611	25.434	383	NA
"322"	8177	817.6	1661.899	2068.239	-27.757	384	NA
"323"	14603	1460.2	2376.375	7820.263	-144.064	385	NA
"324"	8315	831.4	-1122.824	2110.328	-33.878	386	NA
"325"	8973	897.2	-685.585	2107.427	-48.715	387	NA
"326"	8341	834	1072.691	-616.128	20.52	388	NA
"327"	39613	3961.2	1503.622	187.059	-0.894	389	NA
"328"	9005	900.4	2132.029	777.881	-1.781	390	NA
"329"	9014	901.3	-763.044	2118.683	-29.591	391	NA
"330"	9122	912.1	2332.648	936.231	-7.054	392	NA
"331"	41480	4147.9	-233.592	2091.417	-32.738	393	NA
"332"	9116	911.5	2313.363	930.907	-10.455	394	NA
"333"	9174	917.3	2474.888	1016.075	-13.857	395	NA
"334"	9190	918.9	2527.475	1035.069	-9.264	396	NA
"335"	9218	921.7	2618.061	1060.691	-10.476	397	NA
"336"	9241	924	2658.334	1069.563	-17.235	398	NA
"337"	9270	926.9	2734.996	1115.309	-18.03	399	NA
"338"	9303	930.2	2797.534	1165.974	-17.273	400	NA
"339"	9329	932.8	2849.066	1219.538	-18.821	401	NA
"340"	9373	937.2	2976.492	1253.173	-19.903	402	NA
"341"	9514	951.3	3351.19	1423.597	-25.237	404	NA
"342"	9601	960	2741.933	2083.508	-41.482	405	NA
"343"	9590	958.9	3517.306	1517.923	-24.553	406	NA
"344"	9638	963.7	3630.5	1604.513	-23.732	407	NA
"345"	16225	1622.4	2740.705	2021.83	-45.192	408	NA
"346"	9653	965.2	3661.298	1632.314	-28.962	409	NA
"347"	9662	966.1	3686.549	1654.455	-26.341	410	NA
"348"	9679	967.8	3729.744	1682.832	-26.502	411	NA
"349"	9692	969.1	3734.895	1704.345	-28.968	412	NA
"350"	9724	972.3	3805.831	1765.232	-29.514	413	NA
"351"	9759	975.8	3886.291	1816.438	-30.203	414	NA
"352"	9799	979.8	3971.914	1906.884	-33.69	415	NA
"353"	9836	983.5	4031.617	1990.734	-39.398	416	NA
"354"	9964	996.3	4187.108	2217.679	-42.59	417	NA
"355"	9988	998.7	4232.081	2267.034	-42.981	418	NA
"356"	9984	998.3	1661.122	2058.786	-49.674	419	NA
"357"	9999	999.8	4244.956	2298.453	-46.695	420	NA
"358"	10020	1001.9	4285.865	2339.411	-45.985	422	NA
"359"	10154	1015.3	4417.808	2680.207	-52.25	423	NA
"360"	10624	1062.3	4335.635	3913.402	-74.816	424	NA
"361"	10676	1067.5	4269.25	4052.401	-77.979	425	NA
"362"	10724	1072.3	4238.01	4155.087	-79.702	426	NA
"363"	10753	1075.2	4219.615	4203.531	-82.435	427	NA
"364"	10840	1083.9	4156.545	4243.451	-82.993	428	NA
"365"	10896	1089.5	4105.984	4383.707	-84.393	429	NA
"366"	10962	1096.1	3988.754	4530.129	-87.634	431	NA
"367"	10987	1098.6	3946.21	4591.112	-89.213	432	NA
"368"	11004	1100.3	3927.339	4609.216	-89.504	433	NA
"369"	11064	1106.3	3878.962	4744.853	-93.246	434	NA
"370"	11091	1109	3838.017	4795.158	-95.264	435	NA
"371"	11127	1112.6	3819.601	4834.367	-96.146	436	NA
"372"	11161	1116	3774.5	4923.024	-98.228	437	NA
"373"	11181	1118	-752.021	2136.09	-33.181	438	NA
"374"	11150	1114.9	3273.043	1930.549	-42.295	439	NA
"375"	11181	1118	3734.691	4963.701	-96.204	440	NA
"376"	11303	1130.2	-805.924	2135.365	-31.973	441	NA
