"frame_number"	"time_in_deciseconds"	"X"	"Y"	"Z"	"ID"
"328"	11681	1168	3982.147	4558.936	-91.29	706
"329"	11690	1168.9	3971.997	4578.373	-90.95	707
"330"	11691	1169	2028.232	8135.412	-178.784	708
"331"	11708	1170.7	3944.928	4624.336	-82.911	709
"332"	11712	1171.1	-1692.28	1917.05	-35.201	710
"333"	11713	1171.2	1993.897	8155.043	-174.504	711
"334"	11736	1173.5	651.464	2179.252	-42.723	712
"335"	11741	1174	1933.462	8177.05	-177.976	713
"336"	11749	1174.8	3906.972	4715.211	-96.285	714
"337"	11759	1175.8	3898.781	4739.229	-88.129	715
"338"	11764	1176.3	3881.821	4746.456	-96.324	716
"339"	11771	1177	1840.402	8197.484	-176.163	717
"340"	11782	1178.1	1810.302	8200.493	-177.819	718
"341"	11790	1178.9	3851.747	4794.852	-94.924	719
"342"	11801	1180	3831.986	4825.032	-97.037	720
"343"	11825	1182.4	3814.847	4865.169	-96.731	721
"344"	11830	1182.9	3809.775	4877.826	-97.451	722
"345"	11836	1183.5	3807.232	4889.401	-97.303	723
"346"	11852	1185.1	1735.73	8227.565	-180.346	724
"347"	11858	1185.7	3768.092	4942.459	-97.31	725
"348"	11863	1186.2	3758.868	4953.745	-99.611	726
"349"	11873	1187.2	3753.713	4980.6	-97.541	727
"350"	11886	1188.5	3740.262	5018.763	-98.687	728
"351"	11904	1190.3	3716.503	5055.911	-99.699	729
"352"	11919	1191.8	1580.846	8295.896	-177.678	730
"353"	11920	1191.9	3707.164	5105.06	-94.615	731
"354"	11942	1194.1	3673.861	5132.497	-100.757	732
"355"	11948	1194.7	3673.199	5152.554	-95.747	733
"356"	11961	1196	3671.352	5177.112	-101.387	734
"357"	11971	1197	3655.417	5202.959	-102.556	735
"358"	11985	1198.4	3632.26	5232.874	-103.22	736
"359"	11991	1199	1413.565	8294.935	-181.093	737
"360"	11999	1199.8	3627.228	5268.944	-97.015	738
"361"	12008	1200.7	3611.047	5282.229	-104.629	739
"362"	12013	1201.2	-2273.379	1526.842	-24.754	740
"363"	12016	1201.5	3600.945	5289.252	-104.206	741
"364"	12024	1202.3	3589.375	5309.865	-103.604	742
"365"	12030	1202.9	3581.846	5328.172	-103.938	743
"366"	12038	1203.7	1291.896	8289.268	-180.689	744
"367"	12042	1204.1	3568.553	5357.784	-104.802	745
"368"	12085	1208.4	3531.606	5446.858	-106.296	747
"369"	12092	1209.1	1154.754	8273.656	-180.624	748
"370"	12108	1210.7	3512.871	5512.793	-108.009	749
"371"	12199	1219.8	841.213	8259.954	-180.655	750
"372"	12312	1231.1	560.536	8220.202	-181.02	751
"373"	12324	1232.3	3356.128	6026.236	-121.119	752
