"frame_number"	"time_in_deciseconds"	"X"	"Y"	"Z"	"ID"	"distance"
"224"	4692	469.1	-1898.99	1801.969	-31.508	285	0.77
"225"	4741	474	-673.451	2109.456	-31.555	286	3.87
"226"	4749	474.8	-695.721	2111.872	-34.25	287	2.999
"227"	4774	477.3	-746.643	2125.259	-31.915	289	4.343
"228"	4780	477.9	-766.915	2119.984	-32.128	290	3.171
"229"	4810	480.9	-828.801	2143.278	-33.837	291	2.447
"230"	4826	482.5	3254.552	2129.495	-32.87	292	1.123
"231"	4829	482.8	-862.775	2144.543	-33.273	293	2.063
"232"	4853	485.2	2310.67	2131.247	-36.491	294	1.176
"233"	4875	487.4	2307.901	2128.894	-42.181	295	0.657
"234"	4924	492.3	2319.057	2133.023	-39.423	296	3.268
"235"	4943	494.2	-1113.244	2108.718	-34.628	297	1.218
"236"	4983	498.2	-1195.426	2094.394	-33.488	298	2.711
"237"	4993	499.2	-1218.707	2081.538	-32.876	299	4.83
"238"	5018	501.7	2381.99	2085.449	-40.796	300	1.309
"239"	5036	503.5	3333.371	2040.296	-37.104	301	2.868
"240"	5038	503.7	-1339.826	2044.563	-39.169	302	8.306
"241"	5071	507	-1431.153	2019.085	-39.444	303	7.984
"242"	5083	508.2	2194.525	2108.326	-40.943	304	9.081
"243"	5093	509.2	2367.833	2071.402	-37.388	305	1.508
"244"	5102	510.1	-1508.38	1992.676	-32.306	306	3.888
"245"	5128	512.7	2354.216	2073.99	-40.581	307	0.838
"246"	5154	515.3	3303.266	1959.753	-36.713	308	1.088
"247"	5161	516	-1638.59	1933.19	-31.014	309	2.87
"248"	5185	518.4	-1697.121	1905.398	-38.767	310	3.968
"249"	5206	520.5	-1760.183	1874.331	-31.594	311	5.322
"250"	5251	525	3284.63	1939.929	-37.013	312	0.49
"251"	5261	526	-1886.359	1817.805	-27.969	313	2.607
"252"	5269	526.8	-681.051	2126.72	-37.393	314	1.115
"253"	5282	528.1	-1939.885	1806.301	-27.322	315	0.666
"254"	5323	532.2	-2033.208	1741.341	-33.095	316	1.923
"255"	5347	534.6	-2081.184	1708.244	-30.929	317	1.597
"256"	5378	537.7	1846.934	2084.525	-41.981	318	0.167
"257"	5389	538.8	-2168.999	1650.905	-30.835	319	5.266
"258"	5418	541.7	-949.298	2187.03	-42.37	320	0.323
"259"	5454	545.3	-2282.953	1526.702	-21.415	321	2.26
"260"	5533	553.2	-2409.22	1361.506	-12.571	322	1.878
"261"	5544	554.3	-2420.111	1333.05	-12.547	323	3.625
"262"	5599	559.8	-2450.993	1199.183	-6.112	324	3.145
"263"	5645	564.4	-2512.881	1092.969	-8.282	325	5.284
"264"	5692	569.1	-2561.827	967.366	2.721	326	1.671
"265"	5748	574.7	-2623.435	832.858	5.459	327	2.902
"266"	5767	576.6	-2621.764	786.294	6.679	328	3.545
"267"	5824	582.3	-2645.876	720.267	-1.718	329	0.478
"268"	5866	586.5	-2643.849	634.934	7.616	330	4.69
"269"	5890	588.9	2211.119	2112.337	-62.892	331	0.188
"270"	5916	591.5	-2666.159	496.915	10.149	332	1.899
"271"	5946	594.5	-2658.388	414.907	11.961	333	0.595
"272"	5991	599	-2664.838	297.626	14.157	334	2.185
"273"	6015	601.4	1853.557	2111.178	-37.149	335	1.912
"274"	6018	601.7	-2663.735	226.657	16.337	336	3.838
"275"	6039	603.8	-2673.973	174.394	19.189	337	0.428
"276"	6041	604	1834.244	2125.391	-36.588	338	1.853
"277"	6080	607.9	2228.097	2121.046	-43.229	339	3.567
"278"	6095	609.4	-2660.428	9.489	19.813	340	2.912
"279"	6096	609.5	2230.028	2123.49	-33.521	341	0.932
"280"	6127	612.6	-2657.915	-82.87	9.543	342	6.669
"281"	6145	614.4	-2650.979	-128.91	22.358	343	2.032
"282"	6178	617.7	-2657.775	-225.164	22.82	344	4.361
"283"	6201	620	-2649.659	-289.875	23.99	345	3.235
"284"	6237	623.6	-2622.235	-347.08	12.726	346	0.675
"285"	6270	626.9	-2592.878	-439.333	25.04	347	3.735
"286"	6282	628.1	-2590.426	-476.273	25.038	348	4.546
"287"	6316	631.5	3267.302	1925.973	-44.69	349	0.89
"288"	6356	635.5	-2571.094	-686.142	32.644	350	2.449
"289"	6407	640.6	-2519.638	-792.128	26.487	351	4.053
"290"	6436	643.5	-2488.005	-874.927	32.794	352	2.115
"291"	6461	646	-2475.307	-951.494	35.026	353	3.991
"292"	6475	647.4	-2456.357	-989.211	28.168	354	4.499
"293"	6483	648.2	-1940.178	1787.82	-29.278	355	0.437
"294"	6568	656.7	-2350.786	-1244.178	32.487	356	1.149
"295"	6582	658.1	2483.697	2081.785	-33.454	357	1.477
"296"	6587	658.6	-2330.411	-1291.835	33.452	358	2.325
"297"	6615	661.4	2440.417	2078.446	-38.026	359	1.142
"298"	6660	665.9	2357.986	2082.492	-34.636	360	0.602
"299"	6664	666.3	-2190.241	-1470.377	39.514	361	3.977
"300"	6696	669.5	-2132.679	-1529.511	38.779	362	3.945
"301"	6711	671	2322.787	2129.284	-23.136	363	7.021
"302"	6729	672.8	-2064.314	-1603.824	37.081	364	9.015
"303"	6750	674.9	-2042.967	-1625.742	38.972	365	4.222
"304"	6768	676.7	2232.136	2095.442	-36.301	366	2.741
"305"	6775	677.4	-1996.085	-1678.748	38.755	367	2.574
"306"	6794	679.3	2575.315	2019.619	-45.818	368	0.269
"307"	6799	679.8	-1939.096	-1699.331	39.307	369	2.132
"308"	6803	680.2	2161.421	2085.169	-34.632	370	1.012
"309"	6834	683.3	-1870.3	-1775.385	42.614	371	0.662
"310"	6872	687.1	-1798.748	-1802.388	42.557	372	2.697
"311"	6893	689.2	-1753.098	-1840.502	43.476	373	3.818
"312"	6934	693.3	-1655.516	-1889.269	44.36	374	1.52
"313"	6946	694.5	2577.137	2007.872	-36.965	375	2.16
"314"	6977	697.6	1865.565	2079.407	-34.152	376	1.812
"315"	7038	703.7	2522.889	2073.11	-5.468	377	16.954
"316"	7044	704.3	1725.798	2087.861	-33.699	378	1.963
"317"	7084	708.3	2439.04	2069.807	-41.543	379	1.964
"318"	7129	712.8	2328.85	2073.659	-37.975	380	2.378
"319"	7401	740	3270.417	1927.391	-43.186	381	0.135
"320"	7422	742.1	-465.121	-2073.567	48.999	382	0.64
"321"	8002	800.1	629.241	-1302.215	32.857	383	2.517
"322"	8012	801.1	2098.03	2102.264	-35.541	384	2.32
"323"	8131	813	-691.392	2119.397	-36.256	385	1.416
"324"	8164	816.3	-688.775	2120.075	-28.687	386	4.318
"325"	8198	819.7	1624.261	2085.202	-34.24	387	2.619
